RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           91     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  312  349     0     0  con    1  5.2D-01  1.8D-02  4.797D-03  7.164D-01
  313  350     0     0  con    0  1.0D+00  3.2D-02  6.193D-03  7.164D-01
  314  351     0     0  con    0  1.0D+00  3.0D-02  7.327D-03  7.163D-01
  315  352     0     0  con    0  1.0D+00  1.3D-02  4.741D-03  7.163D-01
  316  353     0     0  con    0  1.0D+00  1.5D-02  2.531D-03  7.163D-01
  317  354     0     0  con    0  1.0D+00  3.0D-02  1.400D-02  7.163D-01
  318  355     0     0  con    0  1.0D+00  2.7D-02  6.608D-03  7.163D-01
  319  356     0     0  con    0  1.0D+00  7.6D-03  7.531D-03  7.163D-01
  320  357     0     0  con    0  1.0D+00  4.0D-02  2.772D-03  7.162D-01
  321  358     0     0  con    0  1.0D+00  9.4D-02  1.032D-02  7.162D-01
  322  359     0     0  con    0  1.0D+00  1.7D-02  4.784D-03  7.162D-01
  323  360     0     0  con    0  1.0D+00  9.8D-03  7.450D-03  7.162D-01
  324  361     0     0  con    0  1.0D+00  6.4D-03  1.230D-03  7.162D-01
  325  362     0     0  con    0  1.0D+00  8.9D-03  2.198D-03  7.161D-01
  326  363     0     0  con    0  1.0D+00  2.2D-02  3.830D-03  7.161D-01
  327  364     0     0  con    0  1.0D+00  5.4D-02  5.583D-03  7.161D-01
  328  366     0     0  con    1  4.0D-01  4.4D-03  1.451D-02  7.161D-01
  329  367     0     0  con    0  1.0D+00  1.4D-02  8.254D-03  7.161D-01
  330  368     0     0  con    0  1.0D+00  1.4D-02  6.614D-03  7.161D-01
  331  369     0     0  con    0  1.0D+00  5.3D-02  1.927D-02  7.161D-01
  332  370     0     0  con    0  1.0D+00  9.4D-03  5.419D-03  7.161D-01
  333  371     0     0  con    0  1.0D+00  3.3D-03  1.630D-03  7.160D-01
  334  372     0     0  con    0  1.0D+00  8.8D-03  1.851D-03  7.160D-01
  335  374     0     0  con    1  3.7D-01  8.0D-03  1.014D-02  7.160D-01
  336  375     0     0  con    0  1.0D+00  9.0D-03  8.758D-03  7.160D-01
  337  376     0     0  con    0  1.0D+00  1.1D-02  2.937D-03  7.160D-01
  338  377     0     0  con    0  1.0D+00  6.7D-03  4.940D-03  7.160D-01
  339  378     0     0  con    0  1.0D+00  1.4D-02  1.671D-02  7.160D-01
  340  379     0     0  con    0  1.0D+00  1.2D-02  1.016D-02  7.160D-01
  341  380     0     0  con    0  1.0D+00  1.1D-02  4.650D-03  7.160D-01
  342  381     0     0  con    0  1.0D+00  8.7D-03  4.135D-03  7.160D-01
  343  382     0     0  con    0  1.0D+00  2.1D-03  7.798D-03  7.160D-01
  344  383     0     0  con    0  1.0D+00  1.6D-02  7.622D-03  7.160D-01
  345  384     0     0  con    0  1.0D+00  1.3D-02  1.979D-02  7.160D-01
  346  385     0     0  con    0  1.0D+00  6.7D-03  3.014D-03  7.159D-01
  347  386     0     0  con    0  1.0D+00  4.4D-03  1.598D-03  7.159D-01
  348  387     0     0  con    0  1.0D+00  1.4D-02  2.610D-03  7.159D-01
  349  388     0     0  con    0  1.0D+00  2.1D-02  4.273D-03  7.159D-01
  350  389     0     0  con    0  1.0D+00  1.3D-02  7.208D-03  7.159D-01
  351  390     0     0  con    0  1.0D+00  1.6D-02  5.520D-03  7.159D-01
  352  391     0     0  con    0  1.0D+00  1.1D-02  3.868D-03  7.159D-01
  353  392     0     0  con    0  1.0D+00  1.6D-02  1.568D-02  7.159D-01
  354  393     0     0  con    0  1.0D+00  1.9D-02  5.365D-03  7.159D-01
  355  394     0     0  con    0  1.0D+00  5.6D-03  2.657D-03  7.159D-01
  356  395     0     0  con    0  1.0D+00  7.0D-03  2.180D-03  7.159D-01
  357  396     0     0  con    0  1.0D+00  1.1D-02  1.326D-02  7.159D-01
  358  397     0     0  con    0  1.0D+00  1.4D-02  3.438D-03  7.159D-01
  359  398     0     0  con    0  1.0D+00  2.0D-02  3.366D-03  7.159D-01
  360  399     0     0  con    0  1.0D+00  2.0D-02  1.579D-03  7.158D-01
  361  400     0     0  con    0  1.0D+00  2.0D-02  9.183D-03  7.158D-01
  362  401     0     0  con    0  1.0D+00  1.8D-02  4.688D-03  7.158D-01
  363  402     0     0  con    0  1.0D+00  9.4D-03  3.720D-03  7.158D-01
  364  403     0     0  con    0  1.0D+00  2.2D-02  3.584D-03  7.158D-01
  365  404     0     0  con    0  1.0D+00  1.9D-02  5.848D-03  7.158D-01
  366  405     0     0  con    0  1.0D+00  6.0D-03  4.678D-03  7.158D-01
  367  407     0     0  con    1  5.0D-01  9.8D-03  1.182D-02  7.158D-01
  368  408     0     0  con    0  1.0D+00  1.0D-02  4.771D-03  7.158D-01
  369  409     0     0  con    0  1.0D+00  7.8D-03  1.486D-03  7.158D-01
  370  410     0     0  con    0  1.0D+00  5.0D-03  2.990D-03  7.158D-01
  371  411     0     0  con    0  1.0D+00  1.7D-02  5.269D-03  7.157D-01
  372  412     0     0  con    0  1.0D+00  1.6D-02  1.088D-02  7.157D-01
  373  413     0     0  con    0  1.0D+00  7.1D-03  2.629D-03  7.157D-01
  374  414     0     0  con    0  1.0D+00  2.0D-02  3.349D-03  7.157D-01
  375  415     0     0  con    0  1.0D+00  2.0D-02  2.563D-03  7.157D-01
  376  416     0     0  con    0  1.0D+00  8.4D-03  1.986D-03  7.157D-01
  377  417     0     0  con    0  1.0D+00  3.0D-02  3.563D-03  7.157D-01
  378  418     0     0  con    0  1.0D+00  2.1D-02  5.349D-03  7.157D-01
  379  419     0     0  con    0  1.0D+00  1.1D-02  1.313D-02  7.157D-01
  380  420     0     0  con    0  1.0D+00  7.6D-03  4.956D-03  7.157D-01
  381  421     0     0  con    0  1.0D+00  5.6D-03  5.574D-03  7.157D-01
  382  422     0     0  con    0  1.0D+00  5.2D-03  5.594D-03  7.157D-01
  383  423     0     0  con    0  1.0D+00  8.3D-03  5.567D-03  7.156D-01
  384  425     0     0  con    1  1.9D-01  4.9D-03  3.139D-03  7.156D-01
  385  426     0     0  con    0  1.0D+00  1.5D-02  1.735D-03  7.156D-01
  386  427     0     0  con    0  1.0D+00  2.9D-02  7.809D-03  7.156D-01
  387  428     0     0  con    0  1.0D+00  1.8D-02  3.602D-03  7.156D-01
  388  429     0     0  con    0  1.0D+00  1.4D-02  2.098D-03  7.156D-01
  389  430     0     0  con    0  1.0D+00  1.2D-02  2.883D-03  7.156D-01
  390  431     0     0  con    0  1.0D+00  3.4D-02  5.638D-03  7.156D-01
  391  433     0     0  con    1  3.0D-01  4.8D-03  5.064D-03  7.156D-01
  392  434     0     0  con    0  1.0D+00  5.6D-03  3.763D-03  7.156D-01
  393  435     0     0  con    0  1.0D+00  5.2D-03  1.297D-03  7.156D-01
  394  436     0     0  con    0  1.0D+00  1.1D-02  3.144D-03  7.156D-01
  395  437     0     0  con    0  1.0D+00  1.4D-02  8.512D-03  7.156D-01
  396  438     0     0  con    0  1.0D+00  1.7D-02  1.503D-02  7.156D-01
  397  439     0     0  con    0  1.0D+00  6.9D-03  1.259D-03  7.156D-01
  398  440     0     0  con    0  1.0D+00  3.9D-03  2.600D-03  7.156D-01
  399  441     0     0  con    0  1.0D+00  2.9D-03  4.916D-03  7.156D-01
  400  442     0     0  con    0  1.0D+00  9.3D-03  2.964D-03  7.156D-01
  401  443     0     0  con    0  1.0D+00  7.5D-03  2.561D-03  7.156D-01
  402  444     0     0  con    0  1.0D+00  1.6D-02  2.929D-03  7.156D-01
  403  446     0     0  con    1  9.7D-02  1.7D-03  6.990D-03  7.156D-01
  404  447     0     0  con    0  1.0D+00  1.2D-02  3.617D-03  7.155D-01
  405  448     0     0  con    0  1.0D+00  1.9D-03  9.799D-04  7.155D-01
  406  449     0     0  con    0  1.0D+00  2.6D-03  3.849D-03  7.155D-01
  407  450     0     0  con    0  1.0D+00  3.5D-03  2.896D-03  7.155D-01
  408  452     0     0  con    1  3.3D-01  5.0D-03  9.748D-03  7.155D-01
  409  453     0     0  con    0  1.0D+00  4.3D-03  2.290D-03  7.155D-01
  410  454     0     0  con    0  1.0D+00  5.1D-03  3.882D-03  7.155D-01
  411  455     0     0  con    0  1.0D+00  3.2D-03  3.091D-03  7.155D-01
  412  456     0     0  con    0  1.0D+00  1.5D-02  2.236D-03  7.155D-01
  413  457     0     0  con    0  1.0D+00  1.0D-02  4.153D-03  7.155D-01
  414  458     0     0  con    0  1.0D+00  5.9D-03  3.632D-03  7.155D-01
  415  459     0     0  con    0  1.0D+00  2.5D-02  9.375D-03  7.155D-01
  416  460     0     0  con    0  1.0D+00  1.4D-02  2.017D-03  7.155D-01
  417  461     0     0  con    0  1.0D+00  2.6D-02  5.490D-03  7.155D-01
  418  462     0     0  con    0  1.0D+00  2.9D-03  4.795D-03  7.155D-01
  419  463     0     0  con    0  1.0D+00  1.2D-02  3.653D-03  7.155D-01
  420  464     0     0  con    0  1.0D+00  1.3D-02  3.108D-03  7.155D-01
  421  465     0     0  con    0  1.0D+00  2.5D-02  7.942D-03  7.155D-01
  422  466     0     0  con    0  1.0D+00  5.3D-03  3.060D-03  7.155D-01
  423  467     0     0  con    0  1.0D+00  1.6D-03  4.012D-03  7.155D-01
  424  468     0     0  con    0  1.0D+00  4.6D-03  5.358D-03  7.155D-01
  425  469     0     0  con    0  1.0D+00  2.2D-02  8.274D-03  7.155D-01
  426  470     0     0  con    0  1.0D+00  1.1D-02  4.132D-03  7.155D-01
  427  471     0     0  con    0  1.0D+00  1.3D-02  2.938D-03  7.155D-01
  428  472     0     0  con    0  1.0D+00  1.0D-02  3.390D-03  7.155D-01
  429  473     0     0  con    0  1.0D+00  1.8D-02  2.542D-03  7.155D-01
  430  474     0     0  con    0  1.0D+00  5.6D-02  3.814D-03  7.154D-01
  431  476     0     0  con    1  1.0D-01  1.6D-02  6.002D-03  7.154D-01
  432  477     0     0  con    0  1.0D+00  1.9D-02  3.740D-03  7.154D-01
  433  479     0     0  con    1  1.6D-01  1.3D-02  3.789D-03  7.154D-01
  434  480     0     0  con    0  1.0D+00  7.8D-03  4.495D-03  7.154D-01
  435  481     0     0  con    0  1.0D+00  7.1D-03  1.962D-03  7.154D-01
  436  482     0     0  con    0  1.0D+00  2.1D-02  5.474D-03  7.154D-01
  437  483     0     0  con    0  1.0D+00  9.8D-03  3.467D-03  7.154D-01
  438  484     0     0  con    0  1.0D+00  7.4D-03  1.092D-02  7.154D-01
  439  485     0     0  con    0  1.0D+00  1.3D-03  5.296D-03  7.154D-01
  440  486     0     0  con    0  1.0D+00  1.6D-03  2.636D-03  7.154D-01
  441  487     0     0  con    0  1.0D+00  3.3D-03  3.266D-03  7.154D-01
  442  488     0     0  con    0  1.0D+00  2.0D-02  4.640D-03  7.154D-01
  443  490     0     0  con    1  3.1D-01  2.9D-03  2.680D-03  7.154D-01
  444  491     0     0  con    0  1.0D+00  1.8D-03  4.845D-03  7.154D-01
  445  492     0     0  con    0  1.0D+00  8.5D-03  6.173D-03  7.154D-01
  446  493     0     0  con    0  1.0D+00  7.0D-03  5.896D-03  7.154D-01
  447  494     0     0  con    0  1.0D+00  3.0D-02  3.741D-03  7.154D-01
  448  495     0     0  con    0  1.0D+00  2.4D-02  4.764D-03  7.154D-01
  449  496     0     0  con    0  1.0D+00  1.6D-02  5.531D-03  7.154D-01
  450  497     0     0  con    0  1.0D+00  2.0D-02  9.534D-03  7.154D-01
  451  498     0     0  con    0  1.0D+00  1.3D-02  4.717D-03  7.154D-01
  452  499     0     0  con    0  1.0D+00  3.8D-03  3.045D-03  7.154D-01
  453  500     0     0  con    0  1.0D+00  2.2D-02  1.831D-03  7.154D-01
  454  501     0     0  con    0  1.0D+00  2.9D-02  2.391D-03  7.154D-01
  455  502     0     0  con    0  1.0D+00  3.1D-03  1.583D-03  7.154D-01
  456  503     0     0  con    0  1.0D+00  7.4D-03  2.194D-03  7.153D-01
  457  505     0     0  con    1  2.2D-01  3.7D-02  2.010D-02  7.153D-01
  458  506     0     0  con    0  1.0D+00  7.0D-02  4.765D-03  7.153D-01
  459  507     0     0  con    0  1.0D+00  2.2D-02  1.950D-03  7.153D-01
  460  508     0     0  con    0  1.0D+00  5.0D-02  1.939D-03  7.153D-01
  461  509     0     0  con    0  1.0D+00  4.4D-02  8.337D-03  7.153D-01
  462  510     0     0  con    0  1.0D+00  5.3D-02  6.682D-03  7.153D-01
  463  511     0     0  con    0  1.0D+00  8.0D-03  3.821D-03  7.153D-01
  464  512     0     0  con    0  1.0D+00  3.9D-02  4.159D-03  7.153D-01
  465  513     0     0  con    0  1.0D+00  4.7D-03  3.593D-03  7.153D-01
  466  514     0     0  con    0  1.0D+00  3.1D-02  3.556D-03  7.153D-01
  467  515     0     0  con    0  1.0D+00  3.7D-02  5.542D-03  7.153D-01
  468  516     0     0  con    0  1.0D+00  6.0D-02  2.703D-03  7.152D-01
  469  518     0     0  con    1  2.7D-01  2.9D-02  1.432D-02  7.152D-01
  470  519     0     0  con    0  1.0D+00  4.8D-02  5.088D-03  7.152D-01
  471  520     0     0  con    0  1.0D+00  9.3D-03  5.818D-03  7.152D-01
  472  521     0     0  con    0  1.0D+00  2.3D-02  1.239D-02  7.152D-01
  473  522     0     0  con    0  1.0D+00  2.3D-02  8.481D-03  7.152D-01
  474  523     0     0  con    0  1.0D+00  5.8D-02  5.061D-03  7.152D-01
  475  525     0     0  con    1  3.4D-01  2.9D-02  1.206D-02  7.152D-01
  476  526     0     0  con    0  1.0D+00  2.8D-02  8.112D-03  7.152D-01
  477  527     0     0  con    0  1.0D+00  9.0D-02  5.676D-03  7.152D-01
  478  528     0     0  con    0  1.0D+00  9.1D-02  1.033D-02  7.151D-01
  479  529     0     0  con    0  1.0D+00  5.2D-02  3.583D-03  7.151D-01
  480  530     0     0  con    0  1.0D+00  6.7D-02  5.153D-03  7.151D-01
  481  532     0     0  con    1  1.9D-01  3.8D-02  1.301D-02  7.151D-01
  482  533     0     0  con    0  1.0D+00  4.4D-02  8.659D-03  7.151D-01
  483  535     0     0  con    1  4.8D-01  1.3D-01  4.903D-03  7.151D-01
  484  536     0     0  con    0  1.0D+00  1.6D-02  4.567D-03  7.151D-01
  485  537     0     0  con    0  1.0D+00  6.7D-02  1.059D-02  7.151D-01
  486  539     0     0  con    1  1.4D-01  4.2D-03  4.357D-03  7.151D-01
  487  540     0     0  con    0  1.0D+00  1.0D-02  5.387D-03  7.151D-01
  488  541     0     0  con    0  1.0D+00  2.3D-02  3.042D-03  7.150D-01
  489  542     0     0  con    0  1.0D+00  1.7D-02  4.275D-03  7.150D-01
  490  543     0     0  con    0  1.0D+00  2.0D-02  2.526D-03  7.150D-01
  491  544     0     0  con    0  1.0D+00  6.6D-02  6.530D-03  7.150D-01
  492  545     0     0  con    0  1.0D+00  2.3D-01  2.378D-02  7.150D-01
  493  546     0     0  con    0  1.0D+00  5.4D-02  2.213D-02  7.150D-01
  494  547     0     0  con    0  1.0D+00  5.1D-02  2.109D-03  7.150D-01
  495  548     0     0  con    0  1.0D+00  1.2D-02  3.121D-03  7.150D-01
  496  549     0     0  con    0  1.0D+00  8.5D-02  6.641D-03  7.149D-01
  497  550     0     0  con    0  1.0D+00  5.9D-02  1.595D-02  7.149D-01
  498  551     0     0  con    0  1.0D+00  1.0D-01  6.970D-03  7.149D-01
  499  552     0     0  con    0  1.0D+00  1.6D-02  4.683D-03  7.149D-01
  500  553     0     0  con    0  1.0D+00  7.3D-03  1.884D-03  7.149D-01
  501  554     0     0  con    0  1.0D+00  1.7D-02  1.532D-02  7.149D-01
  502  555     0     0  con    0  1.0D+00  6.2D-02  2.183D-02  7.149D-01
  503  556     0     0  con    0  1.0D+00  1.3D-01  1.917D-02  7.149D-01
  504  558     0     0  con    1  1.9D-01  7.2D-02  1.169D-02  7.149D-01
  505  560     0     0  con    1  5.0D-01  3.7D-02  2.053D-02  7.149D-01
  506  561     0     0  con    0  1.0D+00  5.0D-02  2.250D-02  7.149D-01
  507  562     0     0  con    0  1.0D+00  1.3D-02  9.715D-03  7.149D-01
  508  563     0     0  con    0  1.0D+00  3.5D-03  2.813D-03  7.149D-01
  509  564     0     0  con    0  1.0D+00  3.5D-03  9.383D-03  7.149D-01
  510  565     0     0  con    0  1.0D+00  1.4D-02  1.097D-02  7.149D-01
  511  566     0     0  con    0  1.0D+00  5.1D-02  1.117D-02  7.148D-01
  512  567     0     0  con    0  1.0D+00  4.3D-02  4.279D-03  7.148D-01
  513  568     0     0  con    0  1.0D+00  2.7D-02  3.578D-03  7.148D-01
  514  569     0     0  con    0  1.0D+00  4.6D-02  3.936D-03  7.148D-01
  515  571     0     0  con    1  2.6D-01  9.8D-02  4.138D-03  7.148D-01
  516  572     0     0  con    0  1.0D+00  4.2D-02  9.796D-03  7.148D-01
  517  574     0     0  con    1  3.1D-01  9.3D-03  1.007D-02  7.148D-01
  518  575     0     0  con    0  1.0D+00  1.8D-02  7.993D-03  7.148D-01
  519  577     0     0  con    1  4.8D-01  3.5D-02  1.314D-02  7.148D-01
  520  578     0     0  con    0  1.0D+00  2.2D-02  9.691D-03  7.148D-01
  521  579     0     0  con    0  1.0D+00  4.8D-02  3.915D-03  7.148D-01
  522  580     0     0  con    0  1.0D+00  3.9D-02  6.207D-03  7.148D-01
  523  582     0     0  con    1  4.6D-01  8.2D-02  7.634D-03  7.147D-01
  524  583     0     0  con    0  1.0D+00  3.7D-02  2.581D-03  7.147D-01
  525  584     0     0  con    0  1.0D+00  2.7D-02  1.375D-03  7.147D-01
  526  585     0     0  con    0  1.0D+00  1.1D-01  7.891D-03  7.147D-01
  527  586     0     0  con    0  1.0D+00  3.3D-02  5.378D-03  7.147D-01
  528  588     0     0  con    1  3.8D-01  7.5D-02  3.941D-02  7.147D-01
  529  589     0     0  con    0  1.0D+00  6.1D-02  9.110D-03  7.147D-01
  530  590     0     0  con    0  1.0D+00  3.7D-02  5.307D-03  7.147D-01
  531  591     0     0  con    0  1.0D+00  7.2D-02  1.176D-02  7.146D-01
  532  592     0     0  con    0  1.0D+00  7.4D-02  1.003D-02  7.146D-01
  533  594     0     0  con    1  4.2D-01  2.6D-01  1.303D-02  7.146D-01
  534  596     0     0  con    1  1.5D-01  6.9D-02  2.323D-02  7.146D-01
  535  597     0     0  con    0  1.0D+00  4.0D-02  4.930D-03  7.146D-01
  536  598     0     0  con    0  1.0D+00  4.8D-02  2.782D-03  7.146D-01
  537  599     0     0  con    0  1.0D+00  6.1D-02  8.421D-03  7.146D-01
  538  600     0     0  con    0  1.0D+00  1.0D-02  8.482D-03  7.146D-01
  539  602     0     0  con    1  3.2D-01  2.1D-01  4.540D-03  7.146D-01
  540  603     0     0  con    0  1.0D+00  2.0D-01  4.491D-03  7.145D-01
  541  605     0     0  con    1  2.2D-01  1.4D-01  2.605D-02  7.145D-01
  542  606     0     0  con    0  1.0D+00  5.4D-02  3.195D-03  7.145D-01
  543  607     0     0  con    0  1.0D+00  1.3D-02  3.563D-03  7.145D-01
  544  608     0     0  con    0  1.0D+00  9.0D-02  1.442D-02  7.145D-01
  545  609     0     0  con    0  1.0D+00  2.8D-02  6.623D-03  7.145D-01
  546  610     0     0  con    0  1.0D+00  7.6D-02  6.022D-03  7.145D-01
  547  611     0     0  con    0  1.0D+00  3.8D-01  5.519D-02  7.145D-01
  548  612     0     0  con    0  1.0D+00  1.6D-01  3.791D-02  7.145D-01
  549  613     0     0  con    0  1.0D+00  5.5D-03  1.053D-02  7.144D-01
  550  614     0     0  con    0  1.0D+00  7.2D-03  5.952D-03  7.144D-01
  551  615     0     0  con    0  1.0D+00  7.9D-03  1.129D-02  7.144D-01
  552  616     0     0  con    0  1.0D+00  2.9D-02  1.360D-02  7.144D-01
  553  618     0     0  con    1  5.0D-01  2.1D-01  1.028D-02  7.144D-01
  554  620     0     0  con    1  2.0D-01  7.2D-02  7.795D-03  7.144D-01
  555  621     0     0  con    0  1.0D+00  3.0D-02  8.867D-03  7.144D-01
  556  622     0     0  con    0  1.0D+00  1.3D-02  5.081D-03  7.144D-01
  557  623     0     0  con    0  1.0D+00  1.3D-01  7.106D-03  7.144D-01
  558  624     0     0  con    0  1.0D+00  7.1D-02  3.303D-02  7.143D-01
  559  625     0     0  con    0  1.0D+00  1.9D-01  4.869D-02  7.143D-01
  560  626     0     0  con    0  1.0D+00  1.4D-01  8.249D-03  7.143D-01
  561  627     0     0  con    0  1.0D+00  2.5D-02  3.779D-03  7.143D-01
  562  628     0     0  con    0  1.0D+00  1.2D-01  8.521D-03  7.143D-01
  563  629     0     0  con    0  1.0D+00  2.6D-02  8.490D-03  7.143D-01
  564  630     0     0  con    0  1.0D+00  1.6D-01  7.128D-03  7.143D-01
  565  631     0     0  con    0  1.0D+00  4.7D-02  2.166D-02  7.143D-01
  566  632     0     0  con    0  1.0D+00  2.5D-02  7.441D-03  7.143D-01
  567  633     0     0  con    0  1.0D+00  3.3D-02  4.747D-03  7.143D-01
  568  634     0     0  con    0  1.0D+00  7.3D-03  1.851D-02  7.143D-01
  569  635     0     0  con    0  1.0D+00  1.6D-02  2.879D-02  7.142D-01
  570  636     0     0  con    0  1.0D+00  6.6D-02  2.323D-02  7.142D-01
  571  638     0     0  con    1  4.7D-02  2.6D-02  4.271D-02  7.142D-01
  572  639     0     0  con    0  1.0D+00  3.8D-02  3.134D-02  7.142D-01
  573  640     0     0  con    0  1.0D+00  1.2D-01  1.235D-02  7.142D-01
  574  641     0     0  con    0  1.0D+00  1.0D-01  3.560D-03  7.142D-01
  575  642     0     0  con    0  1.0D+00  6.5D-02  9.826D-03  7.142D-01
  576  643     0     0  con    0  1.0D+00  6.7D-02  1.594D-02  7.142D-01
  577  644     0     0  con    0  1.0D+00  1.2D-01  1.992D-02  7.142D-01
  578  645     0     0  con    0  1.0D+00  2.1D-01  7.663D-03  7.141D-01
  579  646     0     0  con    0  1.0D+00  2.0D-01  5.329D-03  7.141D-01
  580  647     0     0  con    0  1.0D+00  2.2D-01  4.286D-03  7.141D-01
  581  648     0     0  con    0  1.0D+00  7.1D-02  1.888D-02  7.141D-01
  582  650     0     0  con    1  1.9D-01  1.6D-02  1.031D-02  7.141D-01
  583  651     0     0  con    0  1.0D+00  1.2D-01  6.931D-03  7.140D-01
  584  652     0     0  con    0  1.0D+00  6.2D-03  5.658D-03  7.140D-01
  585  653     0     0  con    0  1.0D+00  1.8D-01  8.460D-03  7.140D-01
  586  655     0     0  con    1  1.9D-01  1.2D-01  1.087D-02  7.140D-01
  587  656     0     0  con    0  1.0D+00  1.1D-01  9.009D-03  7.140D-01
  588  657     0     0  con    0  1.0D+00  1.8D-01  1.718D-02  7.139D-01
  589  658     0     0  con    0  1.0D+00  2.6D-01  2.452D-02  7.139D-01
  590  659     0     0  con    0  1.0D+00  3.8D-01  4.194D-02  7.138D-01
  591  660     0     0  con    0  1.0D+00  8.5D-02  2.427D-02  7.138D-01
  592  661     0     0  con    0  1.0D+00  8.7D-02  2.269D-02  7.138D-01
  593  662     0     0  con    0  1.0D+00  4.2D-02  1.303D-02  7.138D-01
  594  663     0     0  con    0  1.0D+00  1.0D-02  1.082D-02  7.138D-01
  595  664     0     0  con    0  1.0D+00  1.2D-01  4.652D-02  7.138D-01
  596  665     0     0  con    0  1.0D+00  4.8D-02  1.660D-02  7.138D-01
  597  666     0     0  con    0  1.0D+00  2.1D-01  2.916D-02  7.137D-01
  598  667     0     0  con    0  1.0D+00  2.2D-02  1.248D-02  7.137D-01
  599  668     0     0  con    0  1.0D+00  4.9D-02  4.562D-03  7.137D-01
  600  669     0     0  con    0  1.0D+00  1.0D-01  7.659D-03  7.137D-01
  601  670     0     0  con    0  1.0D+00  1.1D-01  1.693D-02  7.137D-01
  602  671     0     0  con    0  1.0D+00  1.8D-01  7.130D-03  7.137D-01
  603  672     0     0  con    0  1.0D+00  1.8D-01  6.304D-03  7.137D-01
  604  674     0     0  con    1  3.5D-02  2.3D-02  6.830D-03  7.137D-01
  605  675     0     0  con    0  1.0D+00  1.3D-01  3.670D-02  7.137D-01
  606  676     0     0  con    0  1.0D+00  7.6D-02  2.061D-02  7.137D-01
  607  677     0     0  con    0  1.0D+00  5.1D-02  4.077D-03  7.137D-01
  608  678     0     0  con    0  1.0D+00  5.6D-03  4.813D-03  7.137D-01
  609  679     0     0  con    0  1.0D+00  2.2D-02  3.518D-02  7.137D-01
  610  680     0     0  con    0  1.0D+00  1.5D-02  3.257D-02  7.137D-01
  611  681     0     0  con    0  1.0D+00  7.2D-03  1.668D-02  7.137D-01
  612  682     0     0  con    0  1.0D+00  1.8D-01  1.801D-02  7.136D-01
  613  683     0     0  con    0  1.0D+00  1.8D-01  1.306D-02  7.136D-01
  614  685     0     0  con    1  5.2D-01  2.9D-01  1.451D-02  7.136D-01
  615  686     0     0  con    0  1.0D+00  1.4D-01  4.612D-03  7.136D-01
  616  688     0     0  con    1  2.3D-01  6.4D-02  3.554D-02  7.136D-01
  617  689     0     0  con    0  1.0D+00  3.8D-02  1.293D-02  7.136D-01
  618  690     0     0  con    0  1.0D+00  2.9D-02  5.302D-03  7.136D-01
  619  691     0     0  con    0  1.0D+00  2.3D-02  2.335D-02  7.136D-01
  620  692     0     0  con    0  1.0D+00  2.4D-02  2.106D-02  7.135D-01
  621  693     0     0  con    0  1.0D+00  1.9D-01  2.826D-02  7.135D-01
  622  694     0     0  con    0  1.0D+00  4.2D-02  2.424D-02  7.135D-01
  623  696     0     0  con    1  2.1D-01  3.5D-01  2.492D-02  7.135D-01
  624  698     0     0  con    1  3.1D-01  2.3D-02  1.024D-02  7.135D-01
  625  699     0     0  con    0  1.0D+00  2.4D-02  8.959D-03  7.135D-01
  626  700     0     0  con    0  1.0D+00  2.1D-01  4.549D-03  7.134D-01
  627  702     0     0  con    1  5.5D-02  1.2D-02  1.914D-02  7.134D-01
  628  703     0     0  con    0  1.0D+00  9.2D-02  8.850D-03  7.134D-01
  629  704     0     0  con    0  1.0D+00  3.5D-02  3.900D-03  7.134D-01
  630  705     0     0  con    0  1.0D+00  4.3D-03  4.688D-03  7.134D-01
  631  706     0     0  con    0  1.0D+00  5.1D-02  3.871D-03  7.134D-01
  632  707     0     0  con    0  1.0D+00  1.3D-02  2.954D-03  7.134D-01
  633  708     0     0  con    0  1.0D+00  1.2D-01  2.806D-03  7.134D-01
  634  709     0     0  con    0  1.0D+00  1.2D-01  5.676D-03  7.134D-01
  635  710     0     0  con    0  1.0D+00  4.3D-02  1.191D-02  7.134D-01
  636  712     0     0  con    1  2.5D-01  3.4D-01  4.211D-02  7.133D-01
  637  713     0     0  con    0  1.0D+00  9.6D-03  2.793D-02  7.133D-01
  638  714     0     0  con    0  1.0D+00  1.2D-01  9.380D-03  7.133D-01
  639  715     0     0  con    0  1.0D+00  8.5D-02  6.907D-03  7.133D-01
  640  716     0     0  con    0  1.0D+00  1.1D-02  1.670D-02  7.133D-01
  641  717     0     0  con    0  1.0D+00  3.6D-02  1.282D-02  7.133D-01
  642  718     0     0  con    0  1.0D+00  2.5D-02  1.489D-02  7.133D-01
  643  719     0     0  con    0  1.0D+00  2.5D-01  3.086D-02  7.133D-01
  644  720     0     0  con    0  1.0D+00  9.0D-02  9.968D-03  7.133D-01
  645  721     0     0  con    0  1.0D+00  2.4D-02  3.231D-03  7.133D-01
  646  722     0     0  con    0  1.0D+00  7.0D-02  1.029D-02  7.133D-01
