RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           91     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   84     0     0  con    0  1.0D+00  9.4D-02  2.166D-02  7.667D-01
   73   85     0     0  con    0  1.0D+00  2.3D-01  1.846D-02  7.665D-01
   74   86     0     0  con    0  1.0D+00  5.4D-02  1.097D-02  7.660D-01
   75   87     0     0  con    0  1.0D+00  2.7D-02  7.290D-03  7.659D-01
   76   88     0     0  con    0  1.0D+00  8.5D-02  2.498D-02  7.658D-01
   77   89     0     0  con    0  1.0D+00  4.4D-02  1.515D-02  7.657D-01
   78   90     0     0  con    0  1.0D+00  3.2D-02  2.743D-02  7.656D-01
   79   91     0     0  con    0  1.0D+00  2.7D-02  1.219D-02  7.656D-01
   80   92     0     0  con    0  1.0D+00  7.9D-02  5.612D-03  7.655D-01
   81   93     0     0  con    0  1.0D+00  1.5D-02  7.324D-03  7.655D-01
   82   95     0     0  con    1  4.4D-01  3.7D-02  8.749D-03  7.654D-01
   83   96     0     0  con    0  1.0D+00  4.0D-02  4.144D-03  7.653D-01
   84   97     0     0  con    0  1.0D+00  4.7D-02  6.901D-03  7.651D-01
   85   98     0     0  con    0  1.0D+00  1.2D-01  1.197D-02  7.649D-01
   86   99     0     0  con    0  1.0D+00  2.1D-01  1.145D-02  7.647D-01
   87  100     0     0  con    0  1.0D+00  4.9D-02  4.481D-03  7.644D-01
   88  101     0     0  con    0  1.0D+00  4.5D-02  7.579D-03  7.641D-01
   89  103     0     0  con    1  3.8D-01  2.7D-02  3.441D-02  7.641D-01
   90  104     0     0  con    0  1.0D+00  7.6D-02  7.332D-03  7.639D-01
   91  105     0     0  con    0  1.0D+00  2.4D-02  3.664D-03  7.639D-01
   92  106     0     0  con    0  1.0D+00  3.3D-02  3.770D-03  7.638D-01
   93  108     0     0  con    1  3.2D-01  2.9D-02  1.808D-02  7.637D-01
